GISAID Accession.ID,Omicron_Emergence_MAIN,Omicron_Emergence_AGE,Omicron_Emergence_Vaccinated_Only,Delta_Emergence_MAIN,Delta_Emergence_AGE
EPI_ISL_10589942,-1,-1,-1,-1,-1
EPI_ISL_9654060,-1,-1,-1,-1,-1
EPI_ISL_765504,-1,-1,-1,-1,-1
EPI_ISL_754554,-1,-1,-1,-1,-1
EPI_ISL_9804239,-1,-1,-1,-1,-1
EPI_ISL_767509,-1,-1,-1,-1,-1
EPI_ISL_9880341,-1,-1,-1,-1,-1
EPI_ISL_9392699,-1,-1,-1,-1,-1
EPI_ISL_794154,-1,-1,-1,-1,-1
EPI_ISL_9392795,-1,-1,-1,-1,-1
EPI_ISL_9880072,-1,-1,-1,-1,-1
EPI_ISL_8842350,-1,-1,-1,-1,-1
EPI_ISL_9880115,-1,-1,-1,-1,-1
EPI_ISL_861168,-1,-1,-1,-1,-1
EPI_ISL_767625,-1,-1,-1,-1,-1
EPI_ISL_9654825,-1,-1,-1,-1,-1
EPI_ISL_10590047,-1,-1,-1,-1,-1
EPI_ISL_9392700,-1,-1,-1,-1,-1
EPI_ISL_2868316,-1,-1,-1,-1,-1
EPI_ISL_9034850,-1,-1,-1,-1,-1
EPI_ISL_9880461,-1,-1,-1,-1,-1
EPI_ISL_10589971,-1,-1,-1,-1,-1
EPI_ISL_9880495,-1,-1,-1,-1,-1
EPI_ISL_9804266,0,0,0,0,0
EPI_ISL_7983819,0,0,0,0,0
EPI_ISL_9880437,1,1,0,0,0
EPI_ISL_9654098,0,1,0,0,0
EPI_ISL_10589973,-1,-1,-1,-1,-1
EPI_ISL_9658532,0,1,0,0,0
EPI_ISL_9804309,0,1,0,0,0
EPI_ISL_9804482,1,1,1,0,0
EPI_ISL_9880325,0,0,0,0,0
EPI_ISL_9880436,1,1,0,0,0
EPI_ISL_9804258,0,0,0,0,0
EPI_ISL_10589924,-1,-1,-1,-1,-1
EPI_ISL_10590050,-1,-1,-1,-1,-1
EPI_ISL_9392783,0,1,0,0,0
EPI_ISL_9880491,0,1,0,0,0
EPI_ISL_9880380,0,0,0,0,0
EPI_ISL_765560,-1,-1,-1,-1,-1
EPI_ISL_9804274,0,1,0,0,0
EPI_ISL_9880458,0,1,0,0,0
EPI_ISL_9654929,1,1,0,0,0
EPI_ISL_9880462,0,1,0,0,0
EPI_ISL_9880492,-1,-1,-1,-1,-1
EPI_ISL_9654858,1,1,0,0,0
EPI_ISL_9804246,0,1,0,0,0
EPI_ISL_9658593,0,0,0,0,0
EPI_ISL_9658670,0,1,0,0,0
EPI_ISL_9030483,1,1,1,0,0
EPI_ISL_9804242,0,0,0,0,0
EPI_ISL_767480,0,0,0,0,0
EPI_ISL_9654833,0,0,0,0,0
EPI_ISL_10590028,-1,-1,-1,-1,-1
EPI_ISL_7260607,0,0,0,0,0
EPI_ISL_10589921,-1,-1,-1,-1,-1
EPI_ISL_830677,0,0,0,0,0
EPI_ISL_9880087,0,0,0,0,0
EPI_ISL_9658671,1,1,1,0,0
EPI_ISL_10589926,-1,-1,-1,-1,-1
EPI_ISL_9804280,0,0,0,0,0
EPI_ISL_9654832,0,0,0,0,0
EPI_ISL_767432,0,0,0,0,0
EPI_ISL_10590057,-1,-1,-1,-1,-1
EPI_ISL_767633,0,0,0,0,0
EPI_ISL_9880489,-1,-1,-1,-1,-1
EPI_ISL_9658547,0,0,0,0,0
EPI_ISL_9654872,0,0,0,0,0
EPI_ISL_9654081,0,0,0,0,0
EPI_ISL_9658560,0,0,0,0,0
EPI_ISL_9880373,0,0,0,0,0
EPI_ISL_9658545,0,0,0,0,0
EPI_ISL_9880375,0,1,0,0,0
EPI_ISL_8807907,1,1,0,0,0
EPI_ISL_9392810,1,1,1,0,0
EPI_ISL_9654794,1,1,0,0,0
EPI_ISL_9392716,0,0,0,0,0
EPI_ISL_9804528,0,0,0,0,0
EPI_ISL_9654795,1,1,0,0,0
EPI_ISL_9880326,0,0,0,0,0
EPI_ISL_802481,0,0,0,0,0
EPI_ISL_9804502,0,0,0,0,0
EPI_ISL_9654065,0,1,0,0,0
EPI_ISL_9880425,0,1,0,0,0
EPI_ISL_9658573,0,0,0,0,0
EPI_ISL_9654807,1,1,0,0,0
EPI_ISL_9880401,1,1,0,0,0
EPI_ISL_9658688,1,1,1,0,0
EPI_ISL_9880343,0,0,0,0,0
EPI_ISL_9880066,-1,-1,-1,-1,-1
EPI_ISL_9804463,0,0,0,0,0
EPI_ISL_9804228,0,0,0,0,0
EPI_ISL_9654082,0,0,0,0,0
EPI_ISL_9804521,0,0,0,0,0
EPI_ISL_10590049,-1,-1,-1,-1,-1
EPI_ISL_9654106,0,1,0,0,0
EPI_ISL_9804279,0,0,0,0,0
EPI_ISL_9880098,0,0,0,0,0
EPI_ISL_9658638,0,0,0,0,0
EPI_ISL_9658574,0,0,0,0,0
EPI_ISL_767663,0,0,0,0,0
EPI_ISL_9658548,0,0,0,0,0
EPI_ISL_830672,0,0,0,0,0
EPI_ISL_10589949,-1,-1,-1,-1,-1
EPI_ISL_9880370,0,0,0,0,0
EPI_ISL_9658647,0,1,0,0,0
EPI_ISL_9804288,0,0,0,0,0
EPI_ISL_9880111,0,0,0,0,0
EPI_ISL_9654083,0,0,0,0,0
EPI_ISL_10589959,-1,-1,-1,-1,-1
EPI_ISL_9804520,1,0,1,0,0
EPI_ISL_9804523,0,0,0,0,0
EPI_ISL_9880464,0,0,0,0,0
EPI_ISL_9654829,0,0,0,0,0
EPI_ISL_9654891,0,1,0,0,0
EPI_ISL_9392816,0,0,0,0,0
EPI_ISL_9880448,1,1,1,0,0
EPI_ISL_9880383,0,0,0,0,0
EPI_ISL_9880465,0,1,0,0,0
EPI_ISL_9654941,0,1,0,0,0
EPI_ISL_10589970,-1,-1,-1,-1,-1
EPI_ISL_9658541,0,0,0,0,0
EPI_ISL_10589952,-1,-1,-1,-1,-1
EPI_ISL_9392801,1,0,0,0,0
EPI_ISL_9880120,0,0,0,0,0
EPI_ISL_9658534,0,0,0,0,0
EPI_ISL_9654930,1,1,0,0,0
EPI_ISL_9654820,0,0,0,0,0
EPI_ISL_9392791,0,0,0,0,0
EPI_ISL_9654063,0,0,0,0,0
EPI_ISL_9658652,1,1,0,0,0
EPI_ISL_9804297,0,0,0,0,0
EPI_ISL_9658587,0,0,0,0,0
EPI_ISL_896296,0,0,0,0,0
EPI_ISL_9658583,0,0,0,0,0
EPI_ISL_9804537,1,0,0,0,0
EPI_ISL_9654074,0,1,0,0,0
EPI_ISL_9880114,0,0,0,0,0
EPI_ISL_767715,0,0,0,0,0
EPI_ISL_9880089,0,0,0,0,0
EPI_ISL_9880109,0,0,0,0,0
EPI_ISL_9880135,0,0,0,0,0
EPI_ISL_9880094,0,0,0,0,0
EPI_ISL_9880118,0,0,0,0,0
EPI_ISL_10589982,-1,-1,-1,-1,-1
EPI_ISL_9394864,0,1,0,0,0
EPI_ISL_9880144,0,0,0,0,0
EPI_ISL_9654928,0,1,0,0,0
EPI_ISL_3462791,0,0,0,0,0
EPI_ISL_10589965,-1,-1,-1,-1,-1
EPI_ISL_936276,0,0,0,0,0
EPI_ISL_10589944,-1,-1,-1,-1,-1
EPI_ISL_9804301,0,0,0,0,0
EPI_ISL_9880323,0,0,0,0,0
EPI_ISL_830656,0,0,0,0,0
EPI_ISL_9880073,0,0,0,0,0
EPI_ISL_1397403,0,0,0,0,0
EPI_ISL_9654112,0,0,1,0,0
EPI_ISL_9658575,0,0,0,0,0
EPI_ISL_9658600,0,0,0,0,0
EPI_ISL_10589943,-1,-1,-1,-1,-1
EPI_ISL_794046,0,0,0,0,0
EPI_ISL_802470,-1,-1,-1,-1,-1
EPI_ISL_10590039,-1,-1,-1,-1,-1
EPI_ISL_9880403,0,0,0,0,0
EPI_ISL_9658640,0,1,0,0,0
EPI_ISL_9658582,0,0,0,0,0
EPI_ISL_9880122,0,0,0,0,0
EPI_ISL_10589922,-1,-1,-1,-1,-1
EPI_ISL_9804510,0,0,0,0,0
EPI_ISL_9654958,0,0,0,0,0
EPI_ISL_9880345,0,0,0,0,0
EPI_ISL_9880469,0,0,0,0,0
EPI_ISL_9658588,0,0,0,0,0
EPI_ISL_830674,0,0,0,0,0
EPI_ISL_9392786,0,0,0,0,0
EPI_ISL_767455,0,0,0,0,0
EPI_ISL_9392702,0,0,0,0,0
EPI_ISL_9392807,0,0,0,0,0
EPI_ISL_9880117,0,0,0,0,0
EPI_ISL_9804314,0,0,0,0,0
EPI_ISL_10589930,-1,-1,-1,-1,-1
EPI_ISL_9880418,0,0,0,0,0
EPI_ISL_10589978,-1,-1,-1,-1,-1
EPI_ISL_10589955,-1,-1,-1,-1,-1
EPI_ISL_9658521,0,0,0,0,0
EPI_ISL_9804304,0,0,0,0,0
EPI_ISL_9804287,0,0,0,0,0
EPI_ISL_9658557,0,0,0,0,0
EPI_ISL_9880076,1,0,0,0,0
EPI_ISL_9658608,0,0,0,0,0
EPI_ISL_9804312,0,0,0,0,0
EPI_ISL_9804263,0,0,0,0,0
EPI_ISL_9654838,0,0,0,0,0
EPI_ISL_754404,0,0,0,0,0
EPI_ISL_767448,0,0,0,0,0
EPI_ISL_767582,0,0,0,0,0
EPI_ISL_853696,0,0,0,0,0
EPI_ISL_1227794,0,0,0,0,0
EPI_ISL_804980,0,0,0,0,0
EPI_ISL_754451,0,0,0,0,0
EPI_ISL_767508,0,0,0,0,0
EPI_ISL_1228308,0,0,0,0,0
EPI_ISL_853700,0,0,0,0,0
EPI_ISL_861245,0,0,0,0,0
EPI_ISL_794104,0,0,0,0,0
EPI_ISL_767515,0,0,0,0,0
EPI_ISL_767665,0,0,0,0,0
EPI_ISL_754437,0,0,0,0,0
EPI_ISL_861135,0,0,0,0,0
EPI_ISL_861136,0,0,0,0,0
EPI_ISL_830241,0,0,0,0,0
EPI_ISL_794027,0,0,0,0,0
EPI_ISL_767423,0,0,0,0,0
EPI_ISL_896349,0,0,0,0,0
EPI_ISL_4194777,0,0,0,0,0
EPI_ISL_8032602,0,0,0,0,0
EPI_ISL_7467917,0,0,0,0,0
EPI_ISL_10589913,-1,-1,-1,-1,-1
EPI_ISL_10589931,-1,-1,-1,-1,-1
EPI_ISL_10589928,-1,-1,-1,-1,-1
EPI_ISL_10591166,-1,-1,-1,-1,-1
EPI_ISL_10589927,-1,-1,-1,-1,-1
EPI_ISL_10589933,-1,-1,-1,-1,-1
EPI_ISL_10589929,-1,-1,-1,-1,-1
EPI_ISL_10589966,-1,-1,-1,-1,-1
EPI_ISL_10589968,-1,-1,-1,-1,-1
EPI_ISL_10589937,-1,-1,-1,-1,-1
EPI_ISL_10589957,-1,-1,-1,-1,-1
EPI_ISL_10589941,-1,-1,-1,-1,-1
EPI_ISL_10589932,-1,-1,-1,-1,-1
EPI_ISL_10589969,-1,-1,-1,-1,-1
EPI_ISL_10591167,-1,-1,-1,-1,-1
EPI_ISL_10589984,-1,-1,-1,-1,-1
EPI_ISL_10589939,-1,-1,-1,-1,-1
EPI_ISL_10589967,-1,-1,-1,-1,-1
EPI_ISL_10589977,-1,-1,-1,-1,-1
EPI_ISL_10590044,-1,-1,-1,-1,-1
EPI_ISL_10590065,-1,-1,-1,-1,-1
EPI_ISL_10590054,-1,-1,-1,-1,-1
EPI_ISL_10590032,-1,-1,-1,-1,-1
EPI_ISL_10590048,-1,-1,-1,-1,-1
EPI_ISL_10590040,-1,-1,-1,-1,-1
EPI_ISL_10590068,-1,-1,-1,-1,-1
EPI_ISL_10590045,-1,-1,-1,-1,-1
EPI_ISL_10590036,-1,-1,-1,-1,-1
EPI_ISL_10590061,-1,-1,-1,-1,-1
EPI_ISL_10590059,-1,-1,-1,-1,-1
EPI_ISL_10590070,-1,-1,-1,-1,-1
EPI_ISL_10590067,-1,-1,-1,-1,-1
EPI_ISL_10590058,-1,-1,-1,-1,-1
EPI_ISL_10590046,-1,-1,-1,-1,-1
EPI_ISL_1935629,0,0,0,0,0
EPI_ISL_9880358,0,0,0,0,0
EPI_ISL_9804529,0,0,0,0,0
EPI_ISL_9804512,0,0,0,0,0
EPI_ISL_9804516,0,0,0,0,0
EPI_ISL_9654786,0,1,0,0,0
EPI_ISL_9654788,0,1,0,0,0
EPI_ISL_9654933,0,0,0,0,0
EPI_ISL_9658661,0,1,0,0,0
EPI_ISL_9880440,1,1,0,0,0
EPI_ISL_9880361,0,0,0,0,0
EPI_ISL_9658617,0,1,0,0,0
EPI_ISL_9028267,0,1,0,0,0
EPI_ISL_9804480,0,0,0,0,0
EPI_ISL_9880068,0,0,0,0,0
EPI_ISL_9880070,1,0,0,0,0
EPI_ISL_9804491,0,0,0,0,0
EPI_ISL_9880322,0,0,0,0,0
EPI_ISL_9880351,0,0,0,0,0
EPI_ISL_9658567,0,0,0,0,0
EPI_ISL_9804233,0,0,0,0,0
EPI_ISL_9880061,0,0,0,0,0
EPI_ISL_9658576,0,0,0,0,0
EPI_ISL_9804472,0,0,0,0,0
EPI_ISL_9880082,0,0,0,0,0
EPI_ISL_9654830,0,0,0,0,0
EPI_ISL_9804477,0,0,0,0,0
EPI_ISL_9654816,0,0,0,0,0
EPI_ISL_9880433,0,0,0,0,0
EPI_ISL_9880432,0,0,0,0,0
EPI_ISL_9392787,0,0,0,0,0
EPI_ISL_9880429,0,0,0,0,0
EPI_ISL_9880430,0,0,0,0,0
EPI_ISL_9880428,0,0,0,0,0
EPI_ISL_9392698,1,0,0,0,0
EPI_ISL_9392701,0,0,0,0,0
EPI_ISL_9880421,0,0,0,0,0
EPI_ISL_9392706,0,0,0,0,0
EPI_ISL_9658691,0,0,0,0,0
EPI_ISL_9880475,0,0,0,0,0
EPI_ISL_9880446,1,0,0,0,0
EPI_ISL_9880444,0,0,0,0,0
EPI_ISL_9880457,0,1,0,0,0
EPI_ISL_9654811,0,0,0,0,0
EPI_ISL_9654937,0,0,0,0,0
EPI_ISL_9654890,0,0,0,0,0
EPI_ISL_9654951,0,0,0,0,0
EPI_ISL_9654932,0,1,0,0,0
EPI_ISL_9654809,0,1,0,0,0
EPI_ISL_9658672,1,1,0,0,0
EPI_ISL_9654791,1,1,0,0,0
EPI_ISL_9654787,0,0,0,0,0
EPI_ISL_8807856,0,1,0,0,0
EPI_ISL_9654792,0,0,0,0,0
EPI_ISL_9654875,0,0,0,0,0
EPI_ISL_9658561,0,0,0,0,0
EPI_ISL_9880441,0,1,0,0,0
EPI_ISL_9880422,0,0,0,0,0
EPI_ISL_9392778,0,0,0,0,0
EPI_ISL_9654054,1,0,0,0,0
EPI_ISL_9654860,1,0,0,0,0
EPI_ISL_9658645,1,0,0,0,0
EPI_ISL_9804546,0,0,0,0,0
EPI_ISL_9804541,0,0,0,0,0
EPI_ISL_9804479,0,0,0,0,0
EPI_ISL_9392697,0,0,0,0,0
EPI_ISL_9654061,0,0,0,0,0
EPI_ISL_9654100,0,0,0,0,0
EPI_ISL_9392704,0,0,0,0,0
EPI_ISL_9880338,0,0,0,0,0
EPI_ISL_9880398,0,1,0,0,0
EPI_ISL_9804517,0,0,0,0,0
EPI_ISL_9261648,0,1,0,0,0
EPI_ISL_9658568,0,0,0,0,0
EPI_ISL_9880485,0,0,0,0,0
EPI_ISL_9880125,0,0,0,0,0
EPI_ISL_9658687,0,0,0,0,0
EPI_ISL_9880450,0,1,0,0,0
EPI_ISL_9654924,0,1,0,0,0
EPI_ISL_9880435,1,1,0,0,0
EPI_ISL_9654103,1,0,0,0,0
EPI_ISL_9880342,0,0,0,0,0
EPI_ISL_9880317,0,0,0,0,0
EPI_ISL_9658681,0,0,0,0,0
EPI_ISL_9654802,0,0,0,0,0
EPI_ISL_9654801,1,0,0,0,0
EPI_ISL_9804505,0,0,0,0,0
EPI_ISL_9658579,0,0,0,0,0
EPI_ISL_9658594,0,0,0,0,0
EPI_ISL_9880130,0,0,0,0,0
EPI_ISL_9804507,0,0,0,0,0
EPI_ISL_9654111,0,0,0,0,0
EPI_ISL_9699721,0,0,0,0,0
EPI_ISL_9658555,0,0,0,0,0
EPI_ISL_9658653,1,1,0,0,0
EPI_ISL_9804545,0,0,0,0,0
EPI_ISL_9804236,0,0,0,0,0
EPI_ISL_9654828,0,0,0,0,0
EPI_ISL_9804300,0,0,0,0,0
EPI_ISL_9654110,1,1,0,0,0
EPI_ISL_9658657,0,1,0,0,0
EPI_ISL_9658694,0,0,0,0,0
EPI_ISL_9804232,0,0,0,0,0
EPI_ISL_9654107,0,0,0,0,0
EPI_ISL_9658537,0,0,0,0,0
EPI_ISL_9654785,1,0,0,0,0
EPI_ISL_9804269,0,0,0,0,0
EPI_ISL_9658571,0,0,0,0,0
EPI_ISL_9658538,0,0,0,0,0
EPI_ISL_9804273,0,0,0,0,0
EPI_ISL_9880128,0,0,0,0,0
EPI_ISL_9880108,0,0,0,0,0
EPI_ISL_9880148,0,0,0,0,0
EPI_ISL_9880379,0,0,0,0,0
EPI_ISL_9880372,0,0,0,0,0
EPI_ISL_9880394,0,0,0,0,0
EPI_ISL_9804305,0,0,0,0,0
EPI_ISL_9804527,0,0,0,0,0
EPI_ISL_9804264,0,0,0,0,0
EPI_ISL_9804310,0,0,0,0,0
EPI_ISL_9804237,0,0,0,0,0
EPI_ISL_9654819,0,0,0,0,0
EPI_ISL_9654836,0,0,0,0,0
EPI_ISL_9392800,0,0,0,0,0
EPI_ISL_9392819,0,0,0,0,0
EPI_ISL_9654868,0,0,0,0,0
EPI_ISL_9880454,0,0,0,0,0
EPI_ISL_9654085,0,0,0,0,0
EPI_ISL_9654805,0,0,0,0,0
EPI_ISL_9654806,0,0,0,0,0
EPI_ISL_9658679,0,1,0,0,0
EPI_ISL_9658664,1,1,0,0,0
EPI_ISL_9658663,0,0,0,0,0
EPI_ISL_9654084,0,0,0,0,0
EPI_ISL_9880378,0,0,0,0,0
EPI_ISL_9804247,0,0,0,0,0
EPI_ISL_9658667,0,1,0,0,0
EPI_ISL_9654871,0,0,0,0,0
EPI_ISL_9880129,0,0,0,0,0
EPI_ISL_9804245,0,0,0,0,0
EPI_ISL_9804299,0,0,0,0,0
EPI_ISL_9880106,0,0,0,0,0
EPI_ISL_9804267,0,0,0,0,0
EPI_ISL_9392674,0,1,0,0,0
EPI_ISL_9804296,0,0,0,0,0
EPI_ISL_9654867,0,0,0,0,0
EPI_ISL_9804282,0,0,0,0,0
EPI_ISL_9804504,0,0,0,0,0
EPI_ISL_9804230,0,0,0,0,0
EPI_ISL_9658641,0,0,0,0,0
EPI_ISL_9880104,0,0,0,0,0
EPI_ISL_9880320,0,0,0,0,0
EPI_ISL_9392781,0,0,0,0,0
EPI_ISL_9804249,0,0,0,0,0
EPI_ISL_9804542,0,0,0,0,0
EPI_ISL_9880494,0,0,0,0,0
EPI_ISL_9880140,0,0,0,0,0
EPI_ISL_9392790,0,0,0,0,0
EPI_ISL_9702032,0,0,0,0,0
EPI_ISL_9658656,0,0,0,0,0
EPI_ISL_9880332,0,0,0,0,0
EPI_ISL_9880096,0,0,0,0,0
EPI_ISL_9658566,0,0,0,0,0
EPI_ISL_9880414,0,0,0,0,0
EPI_ISL_9880062,0,0,0,0,0
EPI_ISL_9392809,0,0,0,0,0
EPI_ISL_9880064,0,0,0,0,0
EPI_ISL_9880488,0,0,0,0,0
EPI_ISL_9880340,0,0,0,0,0
EPI_ISL_9880339,0,0,0,0,0
EPI_ISL_9658558,0,0,0,0,0
EPI_ISL_9880490,0,0,0,0,0
EPI_ISL_9880439,0,0,0,0,0
EPI_ISL_9880333,0,0,0,0,0
EPI_ISL_9880347,0,0,0,0,0
EPI_ISL_9880360,0,0,0,0,0
EPI_ISL_9880386,0,0,0,0,0
EPI_ISL_9804473,0,0,0,0,0
EPI_ISL_9804513,0,0,0,0,0
EPI_ISL_9658553,0,0,0,0,0
EPI_ISL_9658535,0,0,0,0,0
EPI_ISL_9658601,0,0,0,0,0
EPI_ISL_9392710,0,0,0,0,0
EPI_ISL_9880447,0,0,0,0,0
EPI_ISL_9654055,0,0,0,0,0
EPI_ISL_9658698,0,0,0,0,0
EPI_ISL_9654855,0,0,0,0,0
EPI_ISL_9880481,0,0,0,0,0
EPI_ISL_9880069,0,0,0,0,0
EPI_ISL_9654934,0,0,0,0,0
EPI_ISL_9654104,0,0,0,0,0
EPI_ISL_9034906,1,1,0,0,0
EPI_ISL_9804469,0,0,0,0,0
EPI_ISL_9658565,0,0,0,0,0
EPI_ISL_9392713,0,0,0,0,0
EPI_ISL_9880466,1,1,0,0,0
EPI_ISL_9804257,0,0,0,0,0
EPI_ISL_9880065,0,0,0,0,0
EPI_ISL_9804535,0,0,0,0,0
EPI_ISL_9880365,0,0,0,0,0
EPI_ISL_9658648,1,0,0,0,0
EPI_ISL_9880067,0,0,0,0,0
EPI_ISL_9654873,0,0,0,0,0
EPI_ISL_9880142,0,0,0,0,0
EPI_ISL_9880420,0,0,0,0,0
EPI_ISL_9658639,0,0,0,0,0
EPI_ISL_9654799,0,0,0,0,0
EPI_ISL_9654793,0,0,0,0,0
EPI_ISL_9804470,0,0,0,0,0
EPI_ISL_9392789,0,0,0,0,0
EPI_ISL_9392780,0,0,0,0,0
EPI_ISL_9654823,0,0,0,0,0
EPI_ISL_9654876,0,0,0,0,0
EPI_ISL_9658530,0,0,0,0,0
EPI_ISL_9654097,0,0,0,0,0
EPI_ISL_9658592,0,0,0,0,0
EPI_ISL_9804311,0,0,0,0,0
EPI_ISL_9804495,0,0,0,0,0
EPI_ISL_9658605,0,0,0,0,0
EPI_ISL_9804256,0,0,0,0,0
EPI_ISL_9654824,0,0,0,0,0
EPI_ISL_9804248,0,0,0,0,0
EPI_ISL_9654817,0,0,0,0,0
EPI_ISL_9392806,0,0,0,0,0
EPI_ISL_9392804,0,0,0,0,0
EPI_ISL_9880451,0,0,0,0,0
EPI_ISL_9654066,1,1,0,0,0
EPI_ISL_9658678,0,1,0,0,0
EPI_ISL_9654815,0,0,0,0,0
EPI_ISL_9880445,0,0,0,0,0
EPI_ISL_9654080,0,0,0,0,0
EPI_ISL_9654859,0,0,0,0,0
EPI_ISL_9392712,0,0,0,0,0
EPI_ISL_9658536,0,0,0,0,0
EPI_ISL_9804243,0,0,0,0,0
EPI_ISL_9654854,0,0,0,0,0
EPI_ISL_9654851,0,0,0,0,0
EPI_ISL_9880393,0,0,0,0,0
EPI_ISL_9804234,0,0,0,0,0
EPI_ISL_9658550,0,0,0,0,0
EPI_ISL_9658683,0,0,0,0,0
EPI_ISL_9804475,0,0,0,0,0
EPI_ISL_9880443,1,0,0,0,0
EPI_ISL_9658654,0,0,0,0,0
EPI_ISL_9654101,0,1,0,0,0
EPI_ISL_9658675,0,0,0,0,0
EPI_ISL_9392792,0,0,0,0,0
EPI_ISL_9804268,0,0,0,0,0
EPI_ISL_9804229,0,0,0,0,0
EPI_ISL_9880081,0,0,0,0,0
EPI_ISL_9658524,0,0,0,0,0
EPI_ISL_9658526,0,0,0,0,0
EPI_ISL_9880359,0,0,0,0,0
EPI_ISL_9654088,0,0,0,0,0
EPI_ISL_9702031,0,0,0,0,0
EPI_ISL_9880478,0,0,0,0,0
EPI_ISL_9392696,0,0,0,0,0
EPI_ISL_9658682,0,0,0,0,0
EPI_ISL_9654789,0,0,0,0,0
EPI_ISL_2279585,0,0,0,1,0
EPI_ISL_7313872,0,0,0,0,0
EPI_ISL_754526,0,0,0,0,0
EPI_ISL_769952,0,0,0,0,0
EPI_ISL_769931,0,0,0,0,0
EPI_ISL_769982,0,0,0,0,0
EPI_ISL_830234,0,0,0,0,0
EPI_ISL_936093,0,0,0,0,0
EPI_ISL_936170,0,0,0,0,0
EPI_ISL_2274505,0,0,0,0,0
EPI_ISL_802486,0,0,0,0,0
EPI_ISL_2274519,0,0,0,0,0
EPI_ISL_2274521,0,0,0,0,0
EPI_ISL_794147,0,0,0,0,0
EPI_ISL_767695,0,0,0,0,0
EPI_ISL_861160,0,0,0,0,0
EPI_ISL_861155,0,0,0,0,0
EPI_ISL_794255,0,0,0,0,0
EPI_ISL_765548,0,0,0,0,0
EPI_ISL_754559,0,0,0,0,0
EPI_ISL_830675,0,0,0,0,0
EPI_ISL_1228492,0,0,0,0,0
EPI_ISL_830615,0,0,0,0,0
EPI_ISL_765487,0,0,0,0,0
EPI_ISL_765480,0,0,0,0,0
EPI_ISL_765488,0,0,0,0,0
EPI_ISL_794029,0,0,0,0,0
EPI_ISL_794033,0,0,0,0,0
EPI_ISL_794032,0,0,0,0,0
EPI_ISL_765497,0,0,0,0,0
EPI_ISL_765484,0,0,0,0,0
EPI_ISL_794030,0,0,0,0,0
EPI_ISL_794028,0,0,0,0,0
EPI_ISL_767517,0,0,0,0,0
